SL,sentence,sentiment
0," স্টাফ কিন্তু, আমাদের জন্য ভয়ঙ্কর ছিল।",negative
1,"শুধুমাত্র,রিডামিং ফ্যাক্টর খাদ্য ছিল,পুরোপুরি ন্যায্য হওয়ার জন্য,  , যা গড়ের চেয়েও বেশি ছিল, কিন্তু অন্যান্য দুর্বলতাগুলির জন্য এটি তৈরি করা সম্ভব হয়নি",positive
2,"শুধুমাত্র,রিডামিং ফ্যাক্টর খাদ্য ছিল,পুরোপুরি ন্যায্য হওয়ার জন্য,  , যা গড়ের চেয়েও বেশি ছিল, কিন্তু অন্যান্য দুর্বলতাগুলির জন্য এটি তৈরি করা সম্ভব হয়নি",negative
3,"খাবার একদমই ব্যতিক্রমী, একটি খুব সক্ষম রান্নাঘর যা গর্বের সঙ্গে আপনি খাওয়া মত মনে আপ চাবুক যা কিনা মেনুতে বা না।",positive
4,"যেখানে গাব্রিয়েলা লোকালি আপনাকে শুভেচ্ছা জানায়, এবং আপনাকে কি খেতে পরামর্শ দেয়।",positive
5,"একবার গিয়ে এটি উপভোগ করবেন না, আমি বলতে পারেন যে তারা সব পবে না।",positive
6," শুধুমাত্র খাদ্য অসামান্য ছিল না, কিন্তু সামান্য 'পারক্স' মহান ছিল।",positive
7," শুধুমাত্র খাদ্য অসামান্য ছিল না, কিন্তু সামান্য 'পারক্স' মহান ছিল",positive
8,এটি খুব বেশি চিত্তাকর্ষক এবং খুব সুস্বাদু নয়।,negative
9,এটি খুব বেশি চিত্তাকর্ষক এবং খুব সুস্বাদু নয়।,negative
10,"আমাদের  প্রিয় সসেজ এবং মুরগির সঙ্গে orecchiette হয় (সাধারণত ওয়েটার অর্ধেক অর্ধেকে বিভক্ত করেন তাই, আপনি উভয় অর্ধেক মেট নমুনা পেতে পারেন)।",positive
11,আমাদের অনুমোদন প্রিয় সসেজ এবং মুরগির সঙ্গে orecchiette হয় (সাধারণত ওয়েটার অর্ধেক তাই আপনি উভয় মেট নমুনা পেতে অর্ধেক বিভক্ত বিভক্ত করা যথেষ্ট)।,positive
12,"Bagels একটি অসাধারণ জমিন সঙ্গে একটি অসামান্য স্বাদ আছে, উভয় chewy এখনও gummy না।",positive
13,"যাইহোক, খাদ্য গুলো বেশ ভাল।",positive
14,"আমি সব অভিনেতা মেগাডেথ দেখেছি, মি-স্ক্রুফ, সেন্ট জার্নাল, ঐতিহ্যগত ভিয়েতনামী গান, কালো বিশ্রামবার, জে-জেড, এবং ডাফ্ট।  ",negative
15,"আমাদের টোস্ট ভুলে গেছি,তাদের পেঁয়াজ ছিল না, , বাম দিকের উপাদানগুলি (একটি omelet পনির), গরম তাপমাত্রা নিচে এবং বেসিন এত উপর রান্না করা ছিল, যখন এটি আমি প্লেট উপর করে crumbled  স্পর্শ করি।",negative
16,"আমাদের চেক পেতে আধা ঘন্টার সময় লাগে, যা নিখুঁত ছিল যেহেতু আমরা বসতে, পান করতে ও কথা বলতে পারি!",negative
17,যেমন ভাল নকশা এবং বায়ুমণ্ডল ,positive
18,"তিনি পাখি বিশেষজ্ঞ ,থাইল্যান্ড গিয়েছিলেন",positive
19,আমি অবশ্যই মরিয়মের সুপারিশ করব এবং এটি আমার নিয়মিত প্রতিবেশী হান্টগুলির মধ্যে একটি।,positive
20,পিজাটি সেরা যদি আপনি পাতলার বিপরীতে পিজা পছন্দ করেন।,positive
21,"একটি মহান সময় ছিল,যখন আমার বান্ধবী এবং আমি অন্য রাতে এই hopping জায়গায় সম্মুখ দিকে ছিলাম।",positive
22,"তারা এত দ্রুত কিনছেন যে,তারা সাহায্য করতে পারবে না।",negative
23,"দ্বিতীয়ত, এই রাতে জায়গাটি পূর্ব দিকের মহিলার সুগন্ধি দ্বারা পরিপূর্ণ ছিল।",negative
24," নিছক সুবিধার পাশাপাশি কোন কারণে,আমি এখানে সমান্য একটু খানি খেয়ে আছে।",negative
25,স্পষ্টতই জানেন একটি পাই যা লোকেরা দ্বারা চালিত,positive
26,আমরা খুব হতাশ ছিলাম,negative
27,এটি সুনির্দিষ্টভাবে বিশেষ আফগানিস্তান।,positive
28,এটি সুনির্দিষ্টভাবে বিশেষ আফগানিস্তান।,positive
29,আমি সত্যিই এই জায়গা পছন্দ করেছি।,positive
30,আমি খুব শীঘ্রই ফিরে যাচ্ছি।,positive
31,"কেউ শেফে গিয়েছিলে, সব টাকাতো অভ্যন্তর প্রসাধনের মধ্যে গিয়েছে। ",positive
32,"কেউ শেফে গিয়েছিলে, সব টাকাতো অভ্যন্তর প্রসাধনের মধ্যে গিয়েছে। ",negative
33," আসনগুলি অস্বস্তিকর হয়, যদি আপনি কাঠের বেঞ্চে প্রাচীরের পাশে বসে থাকেন।",negative
34, কোন বরফ জন্য জিজ্ঞাসা লেট সঙ্গে seltzer.,negative
35,এটা চমত্কার ও খুব সস্তা ছিল  ,positive
36,ফিরে আসবে না,negative
37,একা যান না - টুকরা এবং খাবার এবং সিফুসের একটি নির্বাচন এমনকি দুইজন মানুষ সম্পূর্ণ অভিজ্ঞতার জন্য যথেষ্ট নয়।,positive
38,"আমার পরামর্শ আপনি পরিবারের স্টাইলে খান, কারণ আপনি অন্যান্য খাবার খাওয়ার চেষ্টা করেন।",negative
39,"যদি সব সেরা উষ্ণ Vibe হয়, মালিক সুপার বন্ধুত্বপূর্ণ এবং পরিষেবা দ্রুত হয়,।",positive
40,"মালিক সুপার বন্ধুত্বপূর্ণ এবং পরিষেবা দ্রুত হয়,যদি সব সেরা উষ্ণ Vibe হয়।",positive
41,এটির মান একটি যুগ্ম মান নয়।,negative
